Area,Fatal (Y/N),Area_Lat,Area_Lng
Maryland,3,39.0457549,-76.64127119999999
Massachusetts,9,42.4072107,-71.3824374
Mercury Islands,1,-36.5833333,175.9166667
Merizo,1,13.2681628,144.6917883
Mexico,1,23.634501,-102.552784
Middle Caicos,1,21.7945506,-71.7385225
Milne Bay Province,3,-9.5221451,150.6749653
Mindoro,1,13.1162266,121.0793705
Minerva Reef,1,-23.8333333,-179.0
Mirs Bay ,7,22.5299067,114.3935655
Mississippi,3,32.3546679,-89.3985283
Missouri,1,37.9642529,-91.8318334
Miyako Island,4,24.7673666,125.3246769
Mombasa,1,-4.0434771,39.6682065
Mona Passage,1,18.5,-68.0
Moorea,1,-17.5388435,-149.8295234
Moray,1,57.64984759999999,-3.3168039
Moro Gulf,1,6.801373700000001,123.438353
Morobe Province,1,-6.801373700000001,146.561647
Mugla Province,1,37.1835819,28.4863963
Namonuito Atoll,1,8.666667,150.0
New Britain,6,41.6612104,-72.7795419
New Brunswick,1,46.5653163,-66.46191639999999
New Ireland,1,-3.33,152.0
New Ireland Province,12,-4.2853256,152.9205918
New Jersey,13,40.0583238,-74.4056612
New Mexico,1,34.5199402,-105.8700901
New Providence,7,40.6984348,-74.4015405
New South Wales,243,-31.2532183,146.921099
New Territories,4,40.7220999,-73.98801329999999
New York,5,40.7127753,-74.0059728
North Carolina,82,35.7595731,-79.01929969999999
North Devon,1,51.0729874,-3.8918711
North Island,36,32.6501807,-117.0956644
North Pacific coast,1,62.4113634,-149.0729714
North Province,10,8.8855027,80.2767327
North Region,1,48.4182316,-122.3382014
North Sumatra,1,2.1153547,99.54509739999999
Northern Bahamas,1,26.5255373,-78.6945922
Northern District,1,39.2089689,-76.640005
Northern Taiwan,3,25.0378955,121.5488365
Northern Territory,10,-19.4914108,132.5509603
Northlands,1,49.3215207,-122.9803642
Nueva Esparta,1,10.9970723,-63.91132959999999
Nuku'alofa,2,-21.1393418,-175.204947
Okayama Prefecture,1,34.8963407,133.6375314
Okinawa,1,26.1201911,127.7025012
Okinawa Prefecture,1,26.1201911,127.7025012
Omis,1,43.44335590000001,16.6929175
Oregon,29,43.8041334,-120.5542012
Oslo Fjord,1,59.2969901,10.5694033
Out Islands,1,48.7117691,-122.908432
Ouvea,1,-20.6467752,166.5603828
Pacific coast,1,62.4113634,-149.0729714
Pagasitikos Gulf,1,39.2292403,22.9535409
Paget,1,40.3208948,-83.0124072
Palawan,2,9.8349493,118.7383615
Palmyra Atoll,2,5.8885026,-162.0786656
Pamplemousses ,1,-20.1136008,57.57592599999999
Panama City,1,30.1588129,-85.6602058
Pearl Islands,1,8.4318812,-78.95123699999999
Pennsylvania,1,41.2033216,-77.1945247
Pernambuco,73,-8.8137173,-36.954107
Phang nga Province,1,8.4501414,98.5255317
Phuket,1,7.8804479,98.3922504
Pinas Bay,1,37.9945126,-84.4865521
Port Shelter,1,27.8377397,-97.066768
Porta Plata,1,19.7807686,-70.6871091
Praslin,2,-4.3325908,55.74672589999999
Primorje-Gorski Kotar County ,3,45.31739959999999,14.8167466
Primorsky Krai,3,45.0525641,135.0
Providenciales,1,21.7737654,-72.271908
Puerto Rico,7,18.220833,-66.590149
Puntarenas Province,1,9.2169531,-83.33618799999999
Queensland,158,-20.9175738,142.7027956
Quintana Roo,10,19.1817393,-88.4791376
Ralik Archipelago,2,8.136146,164.8867956
Ralik Chain,1,8.136146,164.8867956
Rangiroa,1,-15.1162282,-147.6513015
Rayong Province,1,12.707434,101.1473517
Red Sea,9,20.280232,38.512573
Reggio Calabria Province,1,38.1113006,15.6472914
Rhode Island,1,41.5800945,-71.4774291
Rio Grande Do Sul,1,-30.0346316,-51.2176986
Rio Grande de Norte,2,-5.402580299999999,-36.954107
Rio de Janeiro,10,-22.9068467,-43.1728965
Rocha,1,40.7235463,-74.00177409999999
Rodrigues,1,-19.7245385,63.4272185
Rombion Province,1,12.5778016,122.269146
Romblon Province,1,12.5778016,122.269146
Roncador Bank,1,13.566667,-80.066667
Sai Kung,1,22.383689,114.2707867
Saint Gilles ,1,50.8301436,4.340218399999999
Saint Leu,1,-21.1747552,55.2878651
Saint-Andre,1,43.01515209999999,-81.3290243
Saint-Benoit,2,-21.043737,55.717857
Saint-Denis,2,48.936181,2.357443
Saint-Gilles,7,50.8301436,4.340218399999999
Saint-Joseph,2,39.9610378,-74.1885138
Saint-Leu,3,-21.1747552,55.2878651
Saint-Louis,1,38.6270025,-90.19940419999999
Saint-Paul,5,44.9537029,-93.0899578
Saint-Philippe,2,-21.3035757,55.7356129
Saint-Pierre,3,46.7758459,-56.1806363
Sainte-Marie,1,14.7794318,-60.9932889
Sainte-Suzanne,1,48.097456,-0.349277
SamanÃ¡ Province,1,19.2058371,-69.3362949
San Blas Islands,4,9.5703192,-78.7872015
San Carlos,1,37.5071591,-122.2605222
Sandaun Province,1,-3.7126179,141.6834275
Santa Catarina State,1,-27.2423392,-50.2188556
Santa Cruz Island,1,34.0232056,-119.7657663
Santa Elena,1,26.7600544,-98.4864057
Santa Isabel Province,1,-8.0592353,159.1447081
Santiago de Cuba Province,1,20.2397682,-75.9927652
Santo Domingo,1,18.4860575,-69.93121169999999
Sardinia,3,40.1208752,9.012892599999999
Sepang,1,2.691369,101.7505271
Shanghai,1,31.230416,121.473701
Sharjah,1,25.3462553,55.4209317
Sharon,1,42.1236499,-71.1786237
Shefa Province,1,-17.6523412,168.3387066
Shizuoka Prefecture,1,35.0929397,138.3190276
Sicily,3,37.5999938,14.0153557
Simpson Bay,1,18.0385649,-63.1163276
Sinai Peninsula,4,29.5,34.0
Sinaloa,3,25.1721091,-107.4795173
Society Islands,8,-16.7613013,-151.443589
Somalia,1,5.152149,46.199616
South Australia,68,-30.0002315,136.2091547
South Carolina,118,33.836081,-81.1637245
South Ch'ungch'ong Province,1,36.8,127.7
South Coast,1,30.6695251,-88.2086181
South Devon,2,50.7155591,-3.530875
South Island,29,-45.15267069999999,169.8926333
South Province,12,-21.7482006,166.1783739
South Sinai,8,29.3101828,34.1531947
Southern District,1,40.7137586,-74.00090589999999
Southern Japan,1,36.204824,138.252924
Southern Thailand,1,8.7158321,99.54509739999999
Southland,2,33.3620356,-101.5501518
St. Andrew Parish,3,41.2290009,-75.89344659999999
St. Brandon,1,-16.583333,59.61666699999999
St. Catherine,1,36.0974457,-96.02202319999999
St. Georges ,1,35.0922792,-89.9371652
St. John's,1,36.7451602,-95.97999569999999
St. Johns,3,36.7451602,-95.97999569999999
St. Mary's Parish,1,37.8416082,-94.3576044
Strait of Malacca,1,4.6625895,99.54509739999999
Sucre,1,33.057553,-96.68915899999999
Suez,2,30.5578479,32.3388628
Surigao del Norte,1,9.514828,125.6969984
Sussex,1,43.1338972,-88.2220372
Suva,1,-18.1248086,178.4500789
Tabasco,1,29.9095582,-91.9030722
Tabuk Province,1,28.2453335,37.6386622
